time,node,sf
100,pop0,a
100,pop0,c
100,pop0,e
100,pop0,b
100,pop3,d
100,pop3,e
100,pop3,a
100,pop3,b
100,pop5,c
100,pop5,b
100,pop5,a
100,pop5,d
100,pop5,e
100,pop6,d
100,pop6,c
100,pop6,e
100,pop6,a
100,pop6,b
100,pop12,b
100,pop12,a
100,pop12,c
100,pop12,d
100,pop12,e
100,pop13,c
100,pop13,d
100,pop13,e
100,pop13,a
100,pop29,d
100,pop29,e
100,pop29,a
100,pop29,b
100,pop30,d
100,pop30,a
100,pop30,b
100,pop30,e
100,pop30,c
100,pop31,a
100,pop31,c
100,pop31,b
100,pop31,e
100,pop31,d
100,pop41,b
100,pop41,a
100,pop41,d
100,pop41,e
100,pop41,c
100,pop42,c
100,pop42,e
100,pop42,d
100,pop42,a
100,pop42,b
100,pop49,b
100,pop49,a
100,pop49,d
100,pop49,e
100,pop49,c
100,pop52,b
100,pop52,a
100,pop52,c
100,pop56,c
100,pop56,b
100,pop56,d
100,pop56,a
100,pop56,e
200,pop0,a
200,pop0,b
200,pop0,c
200,pop0,d
200,pop0,e
200,pop3,b
200,pop3,a
200,pop3,c
200,pop3,d
200,pop3,e
200,pop5,a
200,pop5,c
200,pop5,d
200,pop5,e
200,pop5,b
200,pop6,a
200,pop6,b
200,pop6,c
200,pop6,d
200,pop6,e
200,pop12,c
200,pop12,b
200,pop12,a
200,pop12,d
200,pop12,e
200,pop13,a
200,pop13,d
200,pop13,e
200,pop13,b
200,pop29,a
200,pop29,b
200,pop29,c
200,pop29,d
200,pop29,e
200,pop30,d
200,pop30,b
200,pop30,e
200,pop30,a
200,pop30,c
200,pop31,a
200,pop31,c
200,pop31,e
200,pop31,b
200,pop31,d
200,pop41,d
200,pop41,e
200,pop41,c
200,pop41,a
200,pop41,b
200,pop42,a
200,pop42,b
200,pop42,c
200,pop49,b
200,pop49,c
200,pop49,d
200,pop49,a
200,pop49,e
200,pop52,a
200,pop52,c
200,pop52,b
200,pop52,d
200,pop52,e
200,pop56,a
200,pop56,c
200,pop56,d
200,pop56,e
200,pop56,b
300,pop0,b
300,pop0,c
300,pop0,a
300,pop0,d
300,pop0,e
300,pop3,b
300,pop3,a
300,pop3,d
300,pop3,e
300,pop3,c
300,pop5,c
300,pop5,a
300,pop5,b
300,pop5,d
300,pop5,e
300,pop6,a
300,pop6,b
300,pop6,e
300,pop6,d
300,pop6,c
300,pop12,b
300,pop12,a
300,pop12,c
300,pop12,d
300,pop12,e
300,pop13,b
300,pop13,c
300,pop13,d
300,pop13,e
300,pop13,a
300,pop29,a
300,pop29,c
300,pop29,d
300,pop29,e
300,pop29,b
300,pop30,b
300,pop30,c
300,pop30,e
300,pop30,a
300,pop30,d
300,pop31,a
300,pop31,b
300,pop31,c
300,pop41,a
300,pop41,c
300,pop41,d
300,pop41,b
300,pop41,e
300,pop42,c
300,pop42,a
300,pop42,d
300,pop42,b
300,pop42,e
300,pop49,d
300,pop49,b
300,pop49,a
300,pop49,e
300,pop49,c
300,pop52,a
300,pop52,b
300,pop52,c
300,pop56,c
300,pop56,a
300,pop56,b
300,pop56,d
400,pop0,a
400,pop0,c
400,pop0,b
400,pop3,a
400,pop3,c
400,pop3,d
400,pop3,e
400,pop3,b
400,pop5,c
400,pop5,a
400,pop5,b
400,pop5,e
400,pop5,d
400,pop6,a
400,pop6,b
400,pop6,c
400,pop6,e
400,pop6,d
400,pop12,c
400,pop12,a
400,pop12,b
400,pop12,d
400,pop12,e
400,pop13,b
400,pop13,a
400,pop13,c
400,pop13,e
400,pop29,c
400,pop29,b
400,pop29,a
400,pop29,e
400,pop30,a
400,pop30,c
400,pop30,d
400,pop30,e
400,pop31,c
400,pop31,b
400,pop31,a
400,pop31,d
400,pop41,b
400,pop41,a
400,pop41,c
400,pop41,d
400,pop41,e
400,pop42,d
400,pop42,e
400,pop42,b
400,pop42,a
400,pop42,c
400,pop49,e
400,pop49,d
400,pop49,a
400,pop49,c
400,pop49,b
400,pop52,d
400,pop52,a
400,pop52,c
400,pop52,e
400,pop52,b
400,pop56,d
400,pop56,b
400,pop56,e
400,pop56,c
500,pop0,a
500,pop0,b
500,pop0,c
500,pop0,d
500,pop0,e
500,pop3,d
500,pop3,e
500,pop3,a
500,pop3,b
500,pop3,c
500,pop5,d
500,pop5,e
500,pop5,b
500,pop5,a
500,pop5,c
500,pop6,a
500,pop6,b
500,pop6,c
500,pop6,d
500,pop6,e
500,pop12,b
500,pop12,a
500,pop12,c
500,pop12,d
500,pop12,e
500,pop13,b
500,pop13,a
500,pop13,c
500,pop13,d
500,pop13,e
500,pop29,e
500,pop29,d
500,pop29,a
500,pop29,b
500,pop29,c
500,pop30,c
500,pop30,b
500,pop30,d
500,pop30,a
500,pop30,e
500,pop31,c
500,pop31,a
500,pop31,d
500,pop31,e
500,pop31,b
500,pop41,c
500,pop41,b
500,pop41,a
500,pop42,d
500,pop42,e
500,pop42,b
500,pop42,a
500,pop42,c
500,pop49,c
500,pop49,a
500,pop49,d
500,pop49,e
500,pop49,b
500,pop52,c
500,pop52,a
500,pop52,d
500,pop52,b
500,pop52,e
500,pop56,b
500,pop56,a
500,pop56,c
500,pop56,d
500,pop56,e
600,pop0,e
600,pop0,a
600,pop0,b
600,pop0,d
600,pop0,c
600,pop3,b
600,pop3,a
600,pop3,c
600,pop3,d
600,pop5,c
600,pop5,b
600,pop5,d
600,pop5,e
600,pop6,a
600,pop6,d
600,pop6,b
600,pop6,c
600,pop6,e
600,pop12,a
600,pop12,e
600,pop12,b
600,pop12,c
600,pop12,d
600,pop13,c
600,pop13,b
600,pop13,a
600,pop13,d
600,pop13,e
600,pop29,a
600,pop29,b
600,pop29,c
600,pop29,d
600,pop29,e
600,pop30,a
600,pop30,c
600,pop30,b
600,pop31,a
600,pop31,b
600,pop31,c
600,pop31,d
600,pop31,e
600,pop41,c
600,pop41,a
600,pop41,b
600,pop41,d
600,pop41,e
600,pop42,d
600,pop42,b
600,pop42,a
600,pop42,c
600,pop42,e
600,pop49,b
600,pop49,e
600,pop49,a
600,pop49,d
600,pop49,c
600,pop52,c
600,pop52,a
600,pop52,b
600,pop52,d
600,pop52,e
600,pop56,b
600,pop56,a
600,pop56,c
600,pop56,d
600,pop56,e
700,pop0,b
700,pop0,d
700,pop0,e
700,pop0,a
700,pop0,c
700,pop3,c
700,pop3,e
700,pop3,b
700,pop3,d
700,pop3,a
700,pop5,b
700,pop5,c
700,pop5,d
700,pop5,e
700,pop5,a
700,pop6,c
700,pop6,a
700,pop6,d
700,pop6,b
700,pop6,e
700,pop12,b
700,pop12,c
700,pop12,e
700,pop12,a
700,pop13,c
700,pop13,a
700,pop13,b
700,pop13,d
700,pop13,e
700,pop29,b
700,pop29,c
700,pop29,d
700,pop29,e
700,pop30,d
700,pop30,e
700,pop30,b
700,pop30,c
700,pop30,a
700,pop31,b
700,pop31,a
700,pop31,c
700,pop31,d
700,pop31,e
700,pop41,a
700,pop41,b
700,pop41,c
700,pop42,a
700,pop42,b
700,pop42,c
700,pop49,d
700,pop49,a
700,pop49,b
700,pop49,e
700,pop49,c
700,pop52,b
700,pop52,a
700,pop52,c
700,pop52,d
700,pop56,e
700,pop56,b
700,pop56,a
700,pop56,c
800,pop0,b
800,pop0,c
800,pop0,a
800,pop3,b
800,pop3,c
800,pop3,a
800,pop3,d
800,pop3,e
800,pop5,c
800,pop5,b
800,pop5,a
800,pop6,a
800,pop6,b
800,pop6,c
